"网民上网时间分布（2015.01.01~2015.12.31）",
"时间段","浏览量占比",
"00:00~00:59","3.06%",
"01:00~01:59","1.96%",
"02:00~02:59","1.36%",
"03:00~03:59","1.04%",
"04:00~04:59","0.9%",
"05:00~05:59","0.99%",
"06:00~06:59","1.46%",
"07:00~07:59","2.25%",
"08:00~08:59","3.63%",
"09:00~09:59","4.81%",
"10:00~10:59","5.38%",
"11:00~11:59","5.43%",
"12:00~12:59","5.37%",
"13:00~13:59","5.53%",
"14:00~14:59","5.62%",
"15:00~15:59","5.76%",
"16:00~16:59","5.77%",
"17:00~17:59","5.48%",
"18:00~18:59","5.39%",
"19:00~19:59","5.86%",
"20:00~20:59","6.31%",
"21:00~21:59","6.39%",
"22:00~22:59","5.78%",
"23:00~23:59","4.47%",

